Bad Permutation	Even Permutation	ULL	URR	ULR	URL	List of cycle	Original Potential	ListOfPotentialAfteroneSwap	Potentialafter two swap
[0, 1, 2, 3, 4, 5, 6]	True	[]	[]	[]	[]	[]	0	[2, 2, 2]	[3, 3, 3, 3, 3, 3, 3, 3, 3]
[0, 1, 2, 3, 5, 6, 4]	True	[]	[4, 5, 6]	[]	[]	[[4, 6, 5]]	8	[10, 10, 10]	[7, 7, 7, 7, 7, 7, 7, 7, 7]
[0, 1, 2, 3, 6, 4, 5]	True	[]	[4, 5, 6]	[]	[]	[[4, 5, 6]]	8	[10, 10, 10]	[7, 7, 7, 7, 7, 7, 7, 7, 7]
[0, 1, 3, 2, 4, 5, 6]	False	[2, 3]	[]	[]	[]	[[2, 3]]	6	[8, 8, 8]	[9, 5, 5, 9, 5, 5, 9, 5, 5]
[0, 2, 1, 3, 4, 5, 6]	False	[1, 2]	[]	[]	[]	[[1, 2]]	6	[8, 8, 8]	[5, 5, 9, 5, 5, 9, 5, 5, 9]
[0, 3, 2, 1, 4, 5, 6]	False	[1, 3]	[]	[]	[]	[[1, 3]]	6	[8, 8, 8]	[5, 9, 5, 5, 9, 5, 5, 9, 5]
[1, 0, 2, 3, 4, 5, 6]	False	[]	[]	[]	[]	[[0, 1]]	2	[3, 3, 3]	[3, 3, 3, 3, 3, 3, 3, 3, 3]
[1, 2, 3, 0, 4, 5, 6]	False	[2, 3]	[]	[]	[]	[[0, 3, 2, 1]]	6	[6, 6, 6]	[7, 7, 7, 7, 7, 7, 7, 7, 7]
[1, 2, 4, 5, 3, 0, 6]	False	[2]	[]	[4, 5]	[3]	[[0, 5, 3, 4, 2, 1]]	6	[8, 8, 8]	[6, 7, 7, 6, 7, 7, 9, 10, 10]
[1, 2, 4, 6, 3, 5, 0]	False	[2]	[]	[4, 6]	[3]	[[0, 6, 3, 4, 2, 1]]	6	[8, 8, 8]	[6, 7, 7, 9, 10, 10, 6, 7, 7]
[1, 2, 5, 4, 0, 3, 6]	False	[2]	[]	[4, 5]	[3]	[[0, 4, 3, 5, 2, 1]]	6	[8, 8, 8]	[6, 7, 7, 6, 7, 7, 9, 10, 10]
[1, 2, 5, 6, 4, 3, 0]	False	[2]	[]	[5, 6]	[3]	[[0, 6, 3, 5, 2, 1]]	6	[8, 8, 8]	[9, 10, 10, 6, 7, 7, 6, 7, 7]
[1, 2, 6, 4, 0, 5, 3]	False	[2]	[]	[4, 6]	[3]	[[0, 4, 3, 6, 2, 1]]	6	[8, 8, 8]	[6, 7, 7, 9, 10, 10, 6, 7, 7]
[1, 2, 6, 5, 4, 0, 3]	False	[2]	[]	[5, 6]	[3]	[[0, 5, 3, 6, 2, 1]]	6	[8, 8, 8]	[9, 10, 10, 6, 7, 7, 6, 7, 7]
[1, 3, 0, 2, 4, 5, 6]	False	[2, 3]	[]	[]	[]	[[0, 2, 3, 1]]	6	[6, 6, 6]	[7, 7, 7, 7, 7, 7, 7, 7, 7]
[1, 3, 4, 5, 0, 2, 6]	False	[3]	[]	[4, 5]	[2]	[[0, 4, 2, 5, 3, 1]]	6	[8, 8, 8]	[6, 7, 7, 6, 7, 7, 9, 10, 10]
[1, 3, 4, 6, 0, 5, 2]	False	[3]	[]	[4, 6]	[2]	[[0, 4, 2, 6, 3, 1]]	6	[8, 8, 8]	[6, 7, 7, 9, 10, 10, 6, 7, 7]
[1, 3, 5, 4, 2, 0, 6]	False	[3]	[]	[4, 5]	[2]	[[0, 5, 2, 4, 3, 1]]	6	[8, 8, 8]	[6, 7, 7, 6, 7, 7, 9, 10, 10]
[1, 3, 5, 6, 4, 0, 2]	False	[3]	[]	[5, 6]	[2]	[[0, 5, 2, 6, 3, 1]]	6	[8, 8, 8]	[9, 10, 10, 6, 7, 7, 6, 7, 7]
[1, 3, 6, 4, 2, 5, 0]	False	[3]	[]	[4, 6]	[2]	[[0, 6, 2, 4, 3, 1]]	6	[8, 8, 8]	[6, 7, 7, 9, 10, 10, 6, 7, 7]
[1, 3, 6, 5, 4, 2, 0]	False	[3]	[]	[5, 6]	[2]	[[0, 6, 2, 5, 3, 1]]	6	[8, 8, 8]	[9, 10, 10, 6, 7, 7, 6, 7, 7]
[1, 4, 0, 2, 5, 3, 6]	False	[2]	[5]	[4]	[3]	[[0, 2, 3, 5, 4, 1]]	8	[9, 10, 9]	[7, 10, 10, 9, 12, 7, 11, 10, 10]
[1, 4, 0, 2, 6, 5, 3]	False	[2]	[6]	[4]	[3]	[[0, 2, 3, 6, 4, 1]]	8	[9, 9, 10]	[7, 10, 10, 11, 10, 10, 9, 12, 7]
[1, 4, 0, 3, 2, 5, 6]	False	[]	[]	[4]	[2]	[[0, 2, 4, 1]]	3	[5, 4, 4]	[4, 3, 7, 6, 6, 6, 6, 6, 6]
[1, 4, 0, 3, 5, 6, 2]	False	[]	[5, 6]	[4]	[2]	[[0, 2, 6, 5, 4, 1]]	7	[8, 8, 9]	[6, 10, 10, 6, 10, 10, 9, 7, 12]
